idx	name	http_code	check_s	speed_s	speed_bps
1	edge1-001|CF电信优选	204	0.532155	2.418111	433634
2	edge1-002|CF电信优选	204	0.438865	2.129988	492291
3	edge1-003|CF电信优选	204	0.535561	3.133992	334581
4	edge1-004|CF电信优选	204	0.440760	2.158877	485704
5	edge1-005|CF电信优选	204	0.337475	2.099318	499484
6	edge1-006|CF电信优选	204	0.417739	3.019865	347226
7	edge1-007|CF电信优选	204	0.433564	2.724282	384899
8	edge1-008|CF电信优选	204	0.451058	2.013599	520747
9	edge1-009|CF电信优选	204	0.459961	2.262365	463486
10	edge1-010|CF电信优选	204	0.429696	2.832676	370171
11	edge1-011|CF电信优选	204	0.530818	2.150704	487550
12	edge1-012|CF电信优选	204	0.425460	2.039621	514103
13	edge1-013|CF电信优选	204	0.482342	2.404410	436105
14	edge1-014|CF电信优选	204	0.431847	2.042735	513319
15	edge1-015|CF电信优选	204	0.440109	1.996561	525191
16	edge1-016|CF电信优选	204	0.428676	2.138480	490337
17	edge1-017|CF电信优选	204	0.355661	2.053944	510518
18	edge1-018|CF电信优选	204	0.537082	2.217034	472963
19	edge1-019|CF电信优选	204	0.425606	2.956840	354627
20	edge1-020|CF电信优选	204	0.428687	2.157727	485963
21	edge1-021|CF电信优选	204	0.356180	2.875879	364610
22	edge1-022|CF电信优选	204	0.324951	2.250198	465992
23	edge1-023|CF电信优选	204	0.326292	2.370273	442386
24	edge1-024|CF电信优选	204	0.550075	2.039739	514073
25	edge1-025|CF电信优选	204	0.554742	2.174382	482240
26	edge1-026|CF电信优选	204	0.423382	4.912520	213449
27	edge1-027|CF电信优选	204	0.458682	2.281017	459696
28	edge1-028|CF电信优选	204	0.439387	1.943003	539667
29	edge1-029|CF电信优选	204	0.523060	3.073915	341120
30	edge1-030|CF电信优选	204	0.545727	2.285774	458740
31	edge1-031|CF电信优选	204	0.431065	2.237607	468614
32	edge1-032|CF电信优选	204	0.504472	2.146579	488487
33	reedge-001|CF电信优选	204	0.445647	2.167445	483784
34	reedge-002|CF电信优选	204	0.546120	2.623436	399695
35	reedge-003|CF电信优选	204	0.448596	2.226974	470852
36	reedge-004|CF电信优选	204	0.565014	2.302834	455341
37	reedge-005|CF电信优选	204	0.571267	2.113040	496240
38	reedge-006|CF电信优选	204	0.547894	2.490523	421026
39	reedge-007|CF电信优选	204	0.435707	2.177143	481629
40	reedge-008|CF电信优选	204	0.542413	2.128583	492616
41	reedge-009|CF电信优选	204	0.330292	2.935766	357172
42	reedge-010|CF电信优选	204	0.532695	2.364615	443444
43	reedge-011|CF电信优选	204	0.434816	2.255185	464962
44	reedge-012|CF电信优选	204	0.527456	2.402794	436398
45	reedge-013|CF电信优选	204	0.429838	2.256861	464617
46	reedge-014|CF电信优选	204	0.450544	2.199174	476804
47	reedge-015|CF电信优选	204	0.519934	2.174393	482238
48	reedge-016|CF电信优选	204	0.323020	2.177466	481557
49	reedge-017|CF电信优选	204	0.405542	3.054859	343248
50	reedge-018|CF电信优选	204	0.538656	2.901898	361341
51	reedge-019|CF电信优选	204	0.432596	2.218360	472680
52	reedge-020|CF电信优选	204	0.392113	2.794657	375207
53	reedge-021|CF电信优选	204	0.327652	2.251771	465667
54	reedge-022|CF电信优选	204	0.325861	2.078620	504457
55	reedge-023|CF电信优选	204	0.433132	2.245939	466876
56	reedge-024|CF电信优选	204	0.536006	2.274628	460987
57	reedge-025|CF电信优选	204	0.427394	1.932840	542505
58	reedge-026|CF电信优选	204	0.327942	4.708644	222691
59	reedge-027|CF电信优选	204	0.430861	2.215783	473230
60	reedge-028|CF电信优选	204	0.327791	2.110961	496729
61	reedge-029|CF电信优选	204	0.435610	2.174397	482237
62	reedge-030|CF电信优选	204	0.343392	2.196548	477374
63	reedge-031|CF电信优选	204	0.432380	2.167736	483719
64	reedge-032|CF电信优选	204	0.532888	2.356033	445059
65	seeda-001|CF电信优选	204	0.444437	2.238527	468422
66	seeda-002|CF电信优选	204	0.481915	3.054599	343277
67	seeda-003|CF电信优选	204	0.438174	2.122008	494143
68	seeda-004|CF电信优选	204	0.522891	2.321054	451767
69	seeda-005|CF电信优选	204	0.442727	2.257522	464480
70	seeda-006|CF电信优选	204	0.538437	2.072105	506043
71	seeda-007|CF电信优选	204	0.557449	2.315713	452809
72	seeda-008|CF电信优选	204	0.531338	2.384351	439774
73	seeda-009|CF电信优选	204	0.447762	2.241267	467849
74	seeda-010|CF电信优选	204	0.527122	2.106182	497856
75	seeda-011|CF电信优选	204	0.460311	2.184398	480029
76	seeda-012|CF电信优选	204	0.421421	2.201279	476348
77	seeda-013|CF电信优选	204	0.359435	2.174389	482239
78	seeda-014|CF电信优选	204	0.407036	2.801651	374270
79	seeda-015|CF电信优选	204	0.438982	2.148110	488138
80	seeda-016|CF电信优选	204	0.432401	2.082715	503465
81	seeda-017|CF电信优选	204	0.420626	2.251075	465811
82	seeda-018|CF电信优选	204	0.538594	2.257416	464502
83	seeda-019|CF电信优选	204	0.542201	2.285478	458799
84	seeda-020|CF电信优选	204	0.438005	3.013065	348009
85	seeda-021|CF电信优选	204	0.430118	2.104996	498136
86	seeda-022|CF电信优选	204	0.549339	2.343117	447513
87	seeda-023|CF电信优选	204	0.335575	2.344032	447338
88	seeda-024|CF电信优选	204	0.324375	2.349543	446289
89	seeda-025|CF电信优选	204	0.336104	2.898248	361796
90	seeda-026|CF电信优选	204	0.538890	3.162441	331571
91	seeda-027|CF电信优选	204	0.452476	2.004781	523037
92	seeda-028|CF电信优选	204	0.326341	2.098775	499613
93	seeda-029|CF电信优选	204	0.439520	2.081412	503781
94	seeda-030|CF电信优选	000	4.007452		0
95	seeda-031|CF电信优选	204	0.452759	2.250288	465974
96	seeda-032|CF电信优选	204	0.440651	2.034480	515402
97	seedb-001|CF电信优选	204	0.434537	2.964688	353688
98	seedb-002|CF电信优选	204	0.365863	2.761876	379660
99	seedb-003|CF电信优选	204	0.332389	2.099433	499456
100	seedb-004|CF电信优选	204	0.332636	2.246888	466679
101	seedb-005|CF电信优选	204	0.361430	2.042370	513411
102	seedb-006|CF电信优选	000	4.011443		0
103	seedb-007|CF电信优选	204	0.383322	2.820560	371761
104	seedb-008|CF电信优选	204	0.528751	2.027258	517238
105	seedb-009|CF电信优选	204	0.550239	1.942929	539688
106	seedb-010|CF电信优选	204	0.419581	2.216399	473098
107	seedb-011|CF电信优选	204	0.392733	2.903808	361103
108	seedb-012|CF电信优选	204	0.458243	2.224703	471333
109	seedb-013|CF电信优选	204	0.442727	2.853024	367531
110	seedb-014|CF电信优选	204	0.440834	2.971610	352864
111	seedb-015|CF电信优选	204	0.438104	2.321739	451633
112	seedb-016|CF电信优选	204	0.339495	6.004980	35427
113	seedb-017|CF电信优选	204	0.438809	2.196357	477416
114	seedb-018|CF电信优选	204	0.434657	3.000017	349523
115	seedb-019|CF电信优选	204	0.428545	2.782926	376789
116	seedb-020|CF电信优选	204	0.446634	2.204951	475555
117	seedb-021|CF电信优选	204	0.536520	2.064239	507972
118	seedb-022|CF电信优选	204	0.537760	2.961057	354122
119	seedb-023|CF电信优选	204	0.537550	1.931105	542992
120	seedb-024|CF电信优选	204	0.337031	2.238303	468469
121	seedb-025|CF电信优选	204	0.538176	2.131020	492053
122	seedb-026|CF电信优选	204	0.543824	2.120649	494459
123	seedb-027|CF电信优选	204	0.532343	2.865754	365898
124	seedb-028|CF电信优选	204	0.411083	3.033457	345670
125	seedb-029|CF电信优选	204	0.542505	3.165248	331277
126	seedb-030|CF电信优选	204	0.429495	2.039389	514161
127	seedb-031|CF电信优选	204	0.453130	2.061255	508707
128	seedb-032|CF电信优选	204	0.326699	2.424822	432434
129	edge4-001|CF电信优选	204	0.353858	2.291868	457520
130	edge4-002|CF电信优选	204	0.554615	2.097307	499963
131	edge4-003|CF电信优选	204	0.440426	2.149053	487924
